Artist and Title;Artist ID;Title ID;Week;T10;Pk;(x?);PkStreams;Total;Date Precision;Release Date;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;uri;track_href;analysis_url;duration_ms;time_signature
Taylor Swift-Sparks Fly (Taylor’s Version);06HL4z0CvFAxyc27GXpf02;3MytWN8L7shNYzGl4tAKRp;10;1;4;;7,370,882;24,873,472; day; 2023-07-07;0,605;0,769;5;-2,413;1;0,032;0,0241;0;0,0936;0,366;114,921;audio_features;spotify:track:3MytWN8L7shNYzGl4tAKRp;https://api.spotify.com/v1/tracks/3MytWN8L7shNYzGl4tAKRp;https://api.spotify.com/v1/audio-analysis/3MytWN8L7shNYzGl4tAKRp;261231;4
Migos-Get Right Witcha;6oMuImdp5ZcFhWP0ESe6mG;76Y0gxtTxN0FyDCYh5qYQj;52;;80;;778,168;24,848,299; day; 2017-04-07;0,95;0,743;10;-5,861;0;0,238;0,0646;0,0000111;0,103;0,619;136,983;audio_features;spotify:track:76Y0gxtTxN0FyDCYh5qYQj;https://api.spotify.com/v1/tracks/76Y0gxtTxN0FyDCYh5qYQj;https://api.spotify.com/v1/audio-analysis/76Y0gxtTxN0FyDCYh5qYQj;257546;4
Wyclef Jean-Divine Sorrow;7aBzpmFXB4WWpPl2F7RjBe;007lsEHi6fP9LoYB7czYUa;87;;55;;592,032;24,825,417; day; 2014-11-24;0,546;0,606;0;-4,158;1;0,041;0,0255;0;0,1;0,413;129,996;audio_features;spotify:track:007lsEHi6fP9LoYB7czYUa;https://api.spotify.com/v1/tracks/007lsEHi6fP9LoYB7czYUa;https://api.spotify.com/v1/audio-analysis/007lsEHi6fP9LoYB7czYUa;278715;4
Peso Pluma-Rosa Pastel;12GqGscKJx3aE4t07u7eVZ;4LreWoO3cpgiIfrRwbOUSF;21;;76;;1,797,897;24,809,172; day; 2023-04-20;0,702;0,68;7;-5,451;0;0,0373;0,24;0;0,111;0,86;122,895;audio_features;spotify:track:4LreWoO3cpgiIfrRwbOUSF;https://api.spotify.com/v1/tracks/4LreWoO3cpgiIfrRwbOUSF;https://api.spotify.com/v1/audio-analysis/4LreWoO3cpgiIfrRwbOUSF;204253;3
Taylor Swift-Cassandra;06HL4z0CvFAxyc27GXpf02;0g4fMVo4JjwnIpTfFfLdxS;11;;35;;4,674,074;24,803,495; day; 2024-04-19;0,587;0,587;10;-9,879;1;0,0595;0,806;0;0,137;0,514;139,963;audio_features;spotify:track:0g4fMVo4JjwnIpTfFfLdxS;https://api.spotify.com/v1/tracks/0g4fMVo4JjwnIpTfFfLdxS;https://api.spotify.com/v1/audio-analysis/0g4fMVo4JjwnIpTfFfLdxS;240206;4
WOS-CANGURO;5YCc6xS5Gpj3EkaYGdjyNK;2UAWYufVaO3EnUUNzl0ppO;36;;134;;803,585;24,797,584; day; 2019-10-04;0,602;0,751;1;-4,358;1;0,327;0,173;0;0,667;0,934;163,874;audio_features;spotify:track:2UAWYufVaO3EnUUNzl0ppO;https://api.spotify.com/v1/tracks/2UAWYufVaO3EnUUNzl0ppO;https://api.spotify.com/v1/audio-analysis/2UAWYufVaO3EnUUNzl0ppO;196745;4
4*TOWN (From Disney and Pixar’s Turning Red)-Nobody Like U;7jLpPyJ5gQxCvwiBsUfFu6;4bV5sf2B4hWBBd5HQ8S7KB;29;;97;;1,032,579;24,797,303; day; 2022-03-11;0,905;0,631;9;-10,06;0;0,177;0,129;0;0,101;0,751;105,026;audio_features;spotify:track:4bV5sf2B4hWBBd5HQ8S7KB;https://api.spotify.com/v1/tracks/4bV5sf2B4hWBBd5HQ8S7KB;https://api.spotify.com/v1/audio-analysis/4bV5sf2B4hWBBd5HQ8S7KB;160947;4
Travis Scott-GOD'S COUNTRY;0Y5tJX1MQlPlqiwlOH1tJY;04WxWo7XeVyx22xEsrWRUb;10;1;10;;6,896,714;24,783,320; day; 2023-07-28;0,624;0,65;2;-5,819;1;0,0358;0,0229;0,0000121;0,145;0,138;150,048;audio_features;spotify:track:04WxWo7XeVyx22xEsrWRUb;https://api.spotify.com/v1/tracks/04WxWo7XeVyx22xEsrWRUb;https://api.spotify.com/v1/audio-analysis/04WxWo7XeVyx22xEsrWRUb;127992;4
Morgan Wallen-Somebody’s Problem;4oUHIQIBe0LHzYfvXNW4QM;42lqBjPYlmL1EXpMDXvhSN;28;;60;;1,543,889;24,777,527; day; 2021-01-08;0,658;0,538;5;-7,676;1;0,0289;0,657;0;0,123;0,62;136,967;audio_features;spotify:track:42lqBjPYlmL1EXpMDXvhSN;https://api.spotify.com/v1/tracks/42lqBjPYlmL1EXpMDXvhSN;https://api.spotify.com/v1/audio-analysis/42lqBjPYlmL1EXpMDXvhSN;161773;4
Tiësto-The Right Song;2o5jDhtHVPhrJdv3cEQ99Z;68vezH3cT6dVOABipmGZ9R;78;;98;;416,195;24,762,653; day; 2016-01-22;0,546;0,894;8;-3,56;1;0,0898;0,459;0,000106;0,322;0,387;125,031;audio_features;spotify:track:68vezH3cT6dVOABipmGZ9R;https://api.spotify.com/v1/tracks/68vezH3cT6dVOABipmGZ9R;https://api.spotify.com/v1/audio-analysis/68vezH3cT6dVOABipmGZ9R;205440;4
Snoop Dogg-Young, Wild & Free;7hJcb9fa4alzcOq3EaNPoG;5HQVUIKwCEXpe7JIHyY734;134;;140;;409,673;24,751,944; day; 2011-10-11;0,715;0,655;0;-6,425;1;0,137;0,0525;0;0,115;0,531;95,078;audio_features;spotify:track:5HQVUIKwCEXpe7JIHyY734;https://api.spotify.com/v1/tracks/5HQVUIKwCEXpe7JIHyY734;https://api.spotify.com/v1/audio-analysis/5HQVUIKwCEXpe7JIHyY734;207333;4
Anirudh Ravichander-Hukum - Thalaivar Alappara;4zCH9qm4R2DADamUHMCa6O;5DgY6Ab0vpyUMKnY9ubFOF;19;;75;;1,619,508;24,695,231; day; 2023-07-28;0,723;0,892;2;-5,758;1;0,164;0,102;0;0,146;0,533;101,996;audio_features;spotify:track:5DgY6Ab0vpyUMKnY9ubFOF;https://api.spotify.com/v1/tracks/5DgY6Ab0vpyUMKnY9ubFOF;https://api.spotify.com/v1/audio-analysis/5DgY6Ab0vpyUMKnY9ubFOF;207647;4
Gryffin-Tie Me Down;2ZRQcIgzPCVaT9XKhXZIzh;4QVS8YCpK71R4FsxSMCjhP;35;;98;;837,626;24,693,110; day; 2018-08-03;0,548;0,839;6;-2,371;1;0,0644;0,135;0;0,102;0,314;98,932;audio_features;spotify:track:4QVS8YCpK71R4FsxSMCjhP;https://api.spotify.com/v1/tracks/4QVS8YCpK71R4FsxSMCjhP;https://api.spotify.com/v1/audio-analysis/4QVS8YCpK71R4FsxSMCjhP;218296;4
Lewis Capaldi-Hold Me While You Wait;4GNC7GD6oZMSxPGyXy4MNB;60iSKGrGazRzICtMjADNSM;33;;74;;1,193,672;24,691,119; day; 2019-05-17;0,688;0,53;11;-5,507;1;0,0333;0,443;0;0,0995;0,162;106,958;audio_features;spotify:track:60iSKGrGazRzICtMjADNSM;https://api.spotify.com/v1/tracks/60iSKGrGazRzICtMjADNSM;https://api.spotify.com/v1/audio-analysis/60iSKGrGazRzICtMjADNSM;205687;4
BLACKPINK-Crazy Over You;41MozSoPIsD1dJM0CLPjZF;7qq0EOPW4RRlqdvMBmdd73;21;;17;;3,398,836;24,678,365; day; 2020-10-02;0,804;0,633;4;-6,186;1;0,0612;0,0371;0,000119;0,102;0,67;115,002;audio_features;spotify:track:7qq0EOPW4RRlqdvMBmdd73;https://api.spotify.com/v1/tracks/7qq0EOPW4RRlqdvMBmdd73;https://api.spotify.com/v1/audio-analysis/7qq0EOPW4RRlqdvMBmdd73;163946;4
The Weeknd-Privilege;1Xyo4u8uXC1ZmMpatF05PJ;26Fqtv4Aa7kyd1WWGHai6A;21;;12;;2,974,482;24,671,721; day; 2018-03-30;0,391;0,595;11;-7,094;0;0,0411;0,913;0,00557;0,145;0,379;93,78;audio_features;spotify:track:26Fqtv4Aa7kyd1WWGHai6A;https://api.spotify.com/v1/tracks/26Fqtv4Aa7kyd1WWGHai6A;https://api.spotify.com/v1/audio-analysis/26Fqtv4Aa7kyd1WWGHai6A;170573;4
Sabrina Carpenter-Juno;74KM79TiuVKeVCqs8QtB0B;21B4gaTWnTkuSh77iWEXdS;8;;22;;3,601,118;24,670,418; day; 2024-08-23;0,633;0,725;5;-4,257;1;0,0427;0,0461;0;0,205;0,64;130,504;audio_features;spotify:track:21B4gaTWnTkuSh77iWEXdS;https://api.spotify.com/v1/tracks/21B4gaTWnTkuSh77iWEXdS;https://api.spotify.com/v1/audio-analysis/21B4gaTWnTkuSh77iWEXdS;223192;4
Hugh Jackman-Come Alive;5F1aoppMtU3OMiltO8ymJ2;5xNUR50KxswPRAvx7S163g;41;;126;;688,304;24,638,714; day; 2017-12-08;0,702;0,77;7;-9,411;1;0,128;0,00558;0,000802;0,211;0,235;118,034;audio_features;spotify:track:5xNUR50KxswPRAvx7S163g;https://api.spotify.com/v1/tracks/5xNUR50KxswPRAvx7S163g;https://api.spotify.com/v1/audio-analysis/5xNUR50KxswPRAvx7S163g;225933;4
J. Cole-9 5 . s o u t h;6l3HvQ5sa6mXTsMTB19rO5;5R691ipUYRDYW6ehapjoj6;14;;18;;7,032,792;24,638,101; day; 2021-05-14;0,713;0,793;2;-5,277;1;0,397;0,271;0;0,727;0,203;71,724;audio_features;spotify:track:5R691ipUYRDYW6ehapjoj6;https://api.spotify.com/v1/tracks/5R691ipUYRDYW6ehapjoj6;https://api.spotify.com/v1/audio-analysis/5R691ipUYRDYW6ehapjoj6;196946;4
Justin Bieber-Unstable;1uNFoZAHBGtllmzznpCI3s;137mSruegm1u6x9NvwiagR;19;;12;;3,081,029;24,625,764; day; 2021-03-19;0,495;0,333;4;-10,109;0;0,0288;0,737;0;0,112;0,37;99,757;audio_features;spotify:track:137mSruegm1u6x9NvwiagR;https://api.spotify.com/v1/tracks/137mSruegm1u6x9NvwiagR;https://api.spotify.com/v1/audio-analysis/137mSruegm1u6x9NvwiagR;158324;4
MERO-Wolke 10;5wyWp867LWGjFmYZXVSFnZ;200cTjC6si5Xz9af2QeHi2;24;;38;;1,774,536;24,623,140; day; 2019-03-15;0,77;0,797;10;-4,985;0;0,0693;0,0662;0,00000381;0,0858;0,393;100,003;audio_features;spotify:track:200cTjC6si5Xz9af2QeHi2;https://api.spotify.com/v1/tracks/200cTjC6si5Xz9af2QeHi2;https://api.spotify.com/v1/audio-analysis/200cTjC6si5Xz9af2QeHi2;172827;4
Juanfran-Como Llora;7zY0DMisq1oYXvNNgGwHBY;52zq2a71SGs3f1vJuv59ui;38;;176;;696,144;24,611,965; day; 2020-02-07;0,827;0,629;6;-3,966;0;0,185;0,183;0;0,084;0,486;88,064;audio_features;spotify:track:52zq2a71SGs3f1vJuv59ui;https://api.spotify.com/v1/tracks/52zq2a71SGs3f1vJuv59ui;https://api.spotify.com/v1/audio-analysis/52zq2a71SGs3f1vJuv59ui;187500;4
Kendrick Lamar-GOD.;2YZyLoL8N0Wb9xBt1NhZWg;5p3NP9mQblDsVJLdfNZJ3I;28;;30;;2,210,312;24,599,193; day; 2017-04-14;0,706;0,557;0;-5,8;1;0,0813;0,0347;0;0,276;0,205;132,98;audio_features;spotify:track:5p3NP9mQblDsVJLdfNZJ3I;https://api.spotify.com/v1/tracks/5p3NP9mQblDsVJLdfNZJ3I;https://api.spotify.com/v1/audio-analysis/5p3NP9mQblDsVJLdfNZJ3I;248827;4
Adele-Strangers By Nature;4dpARuHxo51G3z768sgnrY;13CVSGLSFl4UxpDVR6u3dq;12;1;3;(x1);5,590,265;24,564,461; day; 2021-11-19;0,387;0,253;5;-8,901;1;0,0336;0,798;0,000159;0,0848;0,134;68,004;audio_features;spotify:track:13CVSGLSFl4UxpDVR6u3dq;https://api.spotify.com/v1/tracks/13CVSGLSFl4UxpDVR6u3dq;https://api.spotify.com/v1/audio-analysis/13CVSGLSFl4UxpDVR6u3dq;182163;5
Taylor Swift-Paper Rings;06HL4z0CvFAxyc27GXpf02;4y5bvROuBDPr5fuwXbIBZR;19;;16;;3,035,132;24,522,609; day; 2019-08-23;0,811;0,719;9;-6,553;1;0,0497;0,0129;0,0000136;0,0742;0,865;103,979;audio_features;spotify:track:4y5bvROuBDPr5fuwXbIBZR;https://api.spotify.com/v1/tracks/4y5bvROuBDPr5fuwXbIBZR;https://api.spotify.com/v1/audio-analysis/4y5bvROuBDPr5fuwXbIBZR;222400;4
Trippie Redd-Death;6Xgp2XMz1fhVYe7i6yNAax;3Kd6Wp3lG5HXMB2dlvuy7y;34;;72;;1,129,431;24,518,507; day; 2019-11-22;0,803;0,82;10;-5,969;0;0,145;0,0579;0;0,149;0,613;164,005;audio_features;spotify:track:3Kd6Wp3lG5HXMB2dlvuy7y;https://api.spotify.com/v1/tracks/3Kd6Wp3lG5HXMB2dlvuy7y;https://api.spotify.com/v1/audio-analysis/3Kd6Wp3lG5HXMB2dlvuy7y;172196;4
MC Zaquin-Não Nasceu pra Namorar;1OwYxVDNKP9JtSpp5E0uA4;6pQKUKBpwr6GhfhcFFFozo;30;;100;;1,026,401;24,492,868; day; 2021-02-25;0,525;0,448;1;-4,075;0;0,0443;0,14;0;0,0922;0,527;83,406;audio_features;spotify:track:6pQKUKBpwr6GhfhcFFFozo;https://api.spotify.com/v1/tracks/6pQKUKBpwr6GhfhcFFFozo;https://api.spotify.com/v1/audio-analysis/6pQKUKBpwr6GhfhcFFFozo;140308;4
Robin Schulz-Heatwave;3t5xRXzsuZmMDkQzgOX35S;2KMJ5CoxY4ECG9TZyNWmpv;71;;125;;423,541;24,489,436; day; 2015-09-25;0,702;0,82;7;-4,323;0;0,063;0,196;0;0,156;0,52;107,936;audio_features;spotify:track:2KMJ5CoxY4ECG9TZyNWmpv;https://api.spotify.com/v1/tracks/2KMJ5CoxY4ECG9TZyNWmpv;https://api.spotify.com/v1/audio-analysis/2KMJ5CoxY4ECG9TZyNWmpv;187126;4
Montell Fish-Hotel;5nvWOyAkfNgVLKESq4fOj2;0JzG1wJuB4v9UPkSE7LMXi;24;;90;;1,215,497;24,418,606; day; 2022-09-16;0,228;0,427;0;-8,739;0;0,0363;0,752;0,0167;0,592;0,192;180,345;audio_features;spotify:track:0JzG1wJuB4v9UPkSE7LMXi;https://api.spotify.com/v1/tracks/0JzG1wJuB4v9UPkSE7LMXi;https://api.spotify.com/v1/audio-analysis/0JzG1wJuB4v9UPkSE7LMXi;197333;4
BLACKPINK-Love To Hate Me;41MozSoPIsD1dJM0CLPjZF;7iKDsPfLT0d5mu2htfMKBZ;21;;18;;3,195,428;24,397,358; day; 2020-10-02;0,686;0,64;8;-5,491;1;0,159;0,0334;0;0,0801;0,597;162,225;audio_features;spotify:track:7iKDsPfLT0d5mu2htfMKBZ;https://api.spotify.com/v1/tracks/7iKDsPfLT0d5mu2htfMKBZ;https://api.spotify.com/v1/audio-analysis/7iKDsPfLT0d5mu2htfMKBZ;171798;4
Dua Lipa-Want To;6M2wZ9GZgrQXHCFfjv46we;0CBFOvHlyqy30Q5tbyNHfQ;35;;107;;877,519;24,364,838; day; 2018-09-05;0,572;0,691;8;-4,783;0;0,123;0,0788;0,000132;0,0593;0,318;92,082;audio_features;spotify:track:0CBFOvHlyqy30Q5tbyNHfQ;https://api.spotify.com/v1/tracks/0CBFOvHlyqy30Q5tbyNHfQ;https://api.spotify.com/v1/audio-analysis/0CBFOvHlyqy30Q5tbyNHfQ;212040;4
Kendrick Lamar-Count Me Out;2YZyLoL8N0Wb9xBt1NhZWg;7pj6P5WnxkZsw3XRc8eMe1;13;;13;;5,255,474;24,361,797; day; 2022-05-13;0,776;0,431;4;-7,544;0;0,091;0,671;0;0,153;0,495;133,999;audio_features;spotify:track:7pj6P5WnxkZsw3XRc8eMe1;https://api.spotify.com/v1/tracks/7pj6P5WnxkZsw3XRc8eMe1;https://api.spotify.com/v1/audio-analysis/7pj6P5WnxkZsw3XRc8eMe1;283642;4
Ariana Grande-just like magic;66CXWjxzNUsdJxJ2JdwvnR;7Dx9Z6Aon1qPS2N0rHSWTe;20;1;8;;3,858,081;24,341,364; day; 2020-10-30;0,719;0,607;8;-5,156;1;0,165;0,08;0;0,125;0,464;128,006;audio_features;spotify:track:7Dx9Z6Aon1qPS2N0rHSWTe;https://api.spotify.com/v1/tracks/7Dx9Z6Aon1qPS2N0rHSWTe;https://api.spotify.com/v1/audio-analysis/7Dx9Z6Aon1qPS2N0rHSWTe;149900;4
